show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,min_duration,seasons,content_age,content_segment,audience_segment,release_lag,movie_id,metadata,era,genre_count,cast_count
s685,Movie,Boundin',Bud Luckey,Bud Luckey,United States,2019-11-12,2004,G,6 min,"Animation, Family, Kids",The musical story of a dancing sheep.,2019,11,6,,17,Legacy,Kids,15,685,"Animation, Family, Kids Bud Luckey Bud Luckey United States The musical story of a dancing sheep.",Modern,3,1
s686,TV Show,Boy Meets World,,"Ben Savage, William Daniels, Betsy Randle, Will Friedle, Rider Strong, Lee Norris",United States,2019-11-12,1993,TV-PG,7 Seasons,"Comedy, Coming of Age, Family","Adolescent Cory Matthews grows up, and faces problems with friends, family, and school.",2019,11,,7 Seasons,28,Legacy,Teen,26,686,"Comedy, Coming of Age, Family  Ben Savage, William Daniels, Betsy Randle, Will Friedle, Rider Strong, Lee Norris United States Adolescent Cory Matthews grows up, and faces problems with friends, family, and school.",Modern,3,6
s687,Movie,Brave,"Mark Andrews, Brenda Chapman","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters, Robbie Coltrane, Kevin McKidd","United States, United Kingdom",2019-11-12,2012,PG,94 min,"Animation, Coming of Age, Family",Princess Merida must undo a beastly curse before it’s too late.,2019,11,94,,9,Recent,Family,7,687,"Animation, Coming of Age, Family Mark Andrews, Brenda Chapman Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters, Robbie Coltrane, Kevin McKidd United States, United Kingdom Princess Merida must undo a beastly curse before it’s too late.",Recent,3,6
s688,Movie,Brave Little Toaster to the Rescue,Robert Ramirez,"Deanna Oliver, Tim Stack, Jon Lovitz, Thurl Ravenscroft, Phil Hartman, Jay Mohr",United States,2019-11-12,1999,TV-G,75 min,"Action-Adventure, Animation",The gang tries to save their animal pals from being sent to a testing lab.,2019,11,75,,22,Legacy,Family,20,688,"Action-Adventure, Animation Robert Ramirez Deanna Oliver, Tim Stack, Jon Lovitz, Thurl Ravenscroft, Phil Hartman, Jay Mohr United States The gang tries to save their animal pals from being sent to a testing lab.",Modern,2,6
s689,Movie,Breaking2,Martin Roe,"Lelisa Desisa, Eliud Kipchoge, Zersenay Tadese",United States,2019-11-12,2017,TV-PG,55 min,"Documentary, Sports",Three of the world’s most elite distance runners set out to break the 2-hour marathon barrier.,2019,11,55,,4,Recent,Teen,2,689,"Documentary, Sports Martin Roe Lelisa Desisa, Eliud Kipchoge, Zersenay Tadese United States Three of the world’s most elite distance runners set out to break the 2-hour marathon barrier.",Recent,2,3
s690,Movie,Brink!,Greg Beeman,"Erik von Detten, Sam Horrigan, Christina Vidal, Robin Riker, Geoffrey Blake, Patrick Levis",United States,2019-11-12,1998,TV-G,90 min,"Coming of Age, Drama, Sports",An in-line skater quits his crew to join a corporate-sponsored team.,2019,11,90,,23,Legacy,Family,21,690,"Coming of Age, Drama, Sports Greg Beeman Erik von Detten, Sam Horrigan, Christina Vidal, Robin Riker, Geoffrey Blake, Patrick Levis United States An in-line skater quits his crew to join a corporate-sponsored team.",Modern,3,6
s691,Movie,Brother Bear,"Aaron Blaise, Robert Walker","Joaquin Phoenix, Jeremy Suarez, Jason Raize, Rick Moranis, Dave Thomas, D.B. Sweeney",United States,2019-11-12,2003,G,90 min,"Action-Adventure, Animation, Family",A boy transformed into a bear makes an epic journey to become human again.,2019,11,90,,18,Legacy,Kids,16,691,"Action-Adventure, Animation, Family Aaron Blaise, Robert Walker Joaquin Phoenix, Jeremy Suarez, Jason Raize, Rick Moranis, Dave Thomas, D.B. Sweeney United States A boy transformed into a bear makes an epic journey to become human again.",Modern,3,6
s692,Movie,Brother Bear 2,Benjamin Gluck,"Patrick Dempsey, Mandy Moore, Jeremy Suarez, Rick Moranis, Dave Thomas, Andrea Martin",United States,2019-11-12,2006,G,78 min,"Action-Adventure, Animation, Family",Bear Kenai is haunted by dreams of his previous life as a human child.,2019,11,78,,15,Legacy,Kids,13,692,"Action-Adventure, Animation, Family Benjamin Gluck Patrick Dempsey, Mandy Moore, Jeremy Suarez, Rick Moranis, Dave Thomas, Andrea Martin United States Bear Kenai is haunted by dreams of his previous life as a human child.",Modern,3,6
s693,Movie,Buffalo Dreams,David Jackson,"Reiley McClendon, Simon Baker, Graham Greene, Tessa Vonn, Max van Ville, Chris Hunter",United States,2019-11-12,2005,TV-G,90 min,"Buddy, Coming of Age, Drama",Two teenagers are sent on a vision quest by a Navajo elder.,2019,11,90,,16,Legacy,Family,14,693,"Buddy, Coming of Age, Drama David Jackson Reiley McClendon, Simon Baker, Graham Greene, Tessa Vonn, Max van Ville, Chris Hunter United States Two teenagers are sent on a vision quest by a Navajo elder.",Modern,3,6
s694,TV Show,Bug Juice: My Adventures at Camp,,,United States,2019-11-12,2017,TV-G,1 Season,"Coming of Age, Docuseries, Family",Camp Waziyatah opens its doors for a fun summer.,2019,11,,,4,Recent,Family,2,694,"Coming of Age, Docuseries, Family   United States Camp Waziyatah opens its doors for a fun summer.",Recent,3,1
s695,Movie,BURN-E,Angus MacLane,"Angus MacLane, Tessa Swigart",United States,2019-11-12,2008,TV-G,8 min,"Animation, Comedy, Family",BURN-E the welding bot is locked out of the star liner.,2019,11,8,,13,Legacy,Family,11,695,"Animation, Comedy, Family Angus MacLane Angus MacLane, Tessa Swigart United States BURN-E the welding bot is locked out of the star liner.",Modern,3,2
s696,Movie,Cadet Kelly,Larry Shaw,"Hilary Duff, Christy Romano, Shawn Ashmore, Aimee Garcia, Linda Kash, Nigel Hamer","United States, Canada",2019-11-12,2002,TV-G,100 min,"Comedy, Coming of Age",An artsy teen goes from fab to drab after enrolling in a military academy.,2019,11,100,,19,Legacy,Family,17,696,"Comedy, Coming of Age Larry Shaw Hilary Duff, Christy Romano, Shawn Ashmore, Aimee Garcia, Linda Kash, Nigel Hamer United States, Canada An artsy teen goes from fab to drab after enrolling in a military academy.",Modern,2,6
s697,Movie,Camp Nowhere,Jonathan Prince,"Christopher Lloyd, Jonathan Jackson, Wendy Makkena, Tom Wilson, Andrew Keegan, Marne Patterson",United States,2019-11-12,1994,PG,96 min,"Comedy, Coming of Age, Family",An actor and some teenagers create the summer camp of their dreams.,2019,11,96,,27,Legacy,Family,25,697,"Comedy, Coming of Age, Family Jonathan Prince Christopher Lloyd, Jonathan Jackson, Wendy Makkena, Tom Wilson, Andrew Keegan, Marne Patterson United States An actor and some teenagers create the summer camp of their dreams.",Modern,3,6
s698,Movie,Camp Rock,Matthew Diamond,"Demi Lovato, Joe Jonas, Meaghan Martin, Maria Canals-Barrera, Alyson Stoner, Julie Brown",United States,2019-11-12,2008,TV-G,96 min,"Coming of Age, Music, Musical",Mitchie gets the chance to spend a summer at a prestigious music camp.,2019,11,96,,13,Legacy,Family,11,698,"Coming of Age, Music, Musical Matthew Diamond Demi Lovato, Joe Jonas, Meaghan Martin, Maria Canals-Barrera, Alyson Stoner, Julie Brown United States Mitchie gets the chance to spend a summer at a prestigious music camp.",Modern,3,6
s699,Movie,Camp Rock 2: The Final Jam,Paul Hoen,"Demi Lovato, Joe Jonas, Nick Jonas, Kevin Jonas, Daniel Fathers, Daniel Kash",United States,2019-11-12,2010,TV-G,101 min,"Coming of Age, Music, Musical","To save Camp Rock, Mitchie challenges Camp Star to a final jam.",2019,11,101,,11,Legacy,Family,9,699,"Coming of Age, Music, Musical Paul Hoen Demi Lovato, Joe Jonas, Nick Jonas, Kevin Jonas, Daniel Fathers, Daniel Kash United States To save Camp Rock, Mitchie challenges Camp Star to a final jam.",Recent,3,6
s700,Movie,Can of Worms,Paul Schneider,"Michael Shulman, Erika Christensen, Adam Wylie, Andrew Ducote, Lee Garlington, Brighton Hertford","United States, Canada",2019-11-12,1999,TV-PG,84 min,"Comedy, Coming of Age, Science Fiction",Aliens invade when a teen asks for intergalactic help to escape Earth.,2019,11,84,,22,Legacy,Teen,20,700,"Comedy, Coming of Age, Science Fiction Paul Schneider Michael Shulman, Erika Christensen, Adam Wylie, Andrew Ducote, Lee Garlington, Brighton Hertford United States, Canada Aliens invade when a teen asks for intergalactic help to escape Earth.",Modern,3,6
s701,Movie,Candleshoe,Norman Tokar,"David Niven, Helen Hayes, Jodie Foster, Leo McKern, Vivian Pickles, Veronica Quilligan","United Kingdom, United States",2019-11-12,1978,G,101 min,"Comedy, Coming of Age, Crime",A tomboy cons a nobleman to find a treasure trove of Spanish doubloons.,2019,11,101,,43,Legacy,Kids,41,701,"Comedy, Coming of Age, Crime Norman Tokar David Niven, Helen Hayes, Jodie Foster, Leo McKern, Vivian Pickles, Veronica Quilligan United Kingdom, United States A tomboy cons a nobleman to find a treasure trove of Spanish doubloons.",Classic,3,6
s702,Movie,Canine Caddy,Clyde Geronimi,,United States,2019-11-12,1941,TV-G,8 min,"Animation, Comedy, Family",Pluto caddies for Mickey on the golf course. See details for advisory.,2019,11,8,,80,Legacy,Family,78,702,"Animation, Comedy, Family Clyde Geronimi  United States Pluto caddies for Mickey on the golf course. See details for advisory.",Classic,3,1
s703,Movie,Cars,John Lasseter,"Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy , Cheech Marin, Tony Shalhoub",United States,2019-11-12,2006,G,117 min,"Animation, Comedy, Family",Race car Lightning McQueen gets stranded in a small town on Route 66.,2019,11,117,,15,Legacy,Kids,13,703,"Animation, Comedy, Family John Lasseter Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy , Cheech Marin, Tony Shalhoub United States Race car Lightning McQueen gets stranded in a small town on Route 66.",Modern,3,6
s704,Movie,Cars 2,John Lasseter,"Owen Wilson, Larry the Cable Guy , Michael Caine, Emily Mortimer, John Turturro, Eddie Izzard",United States,2019-11-12,2011,G,107 min,"Animation, Comedy, Family",Lightning McQueen and Mater go overseas to compete in the World Grand Prix.,2019,11,107,,10,Recent,Kids,8,704,"Animation, Comedy, Family John Lasseter Owen Wilson, Larry the Cable Guy , Michael Caine, Emily Mortimer, John Turturro, Eddie Izzard United States Lightning McQueen and Mater go overseas to compete in the World Grand Prix.",Recent,3,6
s705,Movie,Cars 3,Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion, Larry the Cable Guy , Armie Hammer",United States,2019-11-12,2017,G,103 min,"Animation, Comedy, Family",Lightning McQueen must face a new generation of racers.,2019,11,103,,4,Recent,Kids,2,705,"Animation, Comedy, Family Brian Fee Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion, Larry the Cable Guy , Armie Hammer United States Lightning McQueen must face a new generation of racers.",Recent,3,6
s706,Movie,Cars Toon: Air Mater,Rob Gibbs,"Larry the Cable Guy , Keith Ferguson, Stacey Keach, Jonathan Adams, Jan Rabson, Lori Alan",United States,2019-11-12,2011,TV-G,5 min,"Animation, Comedy, Family",Mater’s decision to fly lands him at a big airshow.,2019,11,5,,10,Recent,Family,8,706,"Animation, Comedy, Family Rob Gibbs Larry the Cable Guy , Keith Ferguson, Stacey Keach, Jonathan Adams, Jan Rabson, Lori Alan United States Mater’s decision to fly lands him at a big airshow.",Recent,3,6
s707,Movie,Cars Toon: Heavy Metal Mater,John Lasseter,"Larry the Cable Guy , Keith Ferguson",United States,2019-11-12,2010,TV-G,5 min,"Animation, Comedy, Family",Mater is a rock star in a heavy metal band.,2019,11,5,,11,Legacy,Family,9,707,"Animation, Comedy, Family John Lasseter Larry the Cable Guy , Keith Ferguson United States Mater is a rock star in a heavy metal band.",Recent,3,2
